Player,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
27,Hannes Delcroix,be BEL,DF,Burnley,24-231,1999,5,2,230,2.6,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,1,6,0,0,0,0,0,0,0.14,0.06,0.19,0.14,0.19,Matches
28,Kevin De Bruyne,be BEL,MF,Manchester City,32-111,1991,1,1,22,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,3,0,0,0,0,0,0.08,0.83,0.91,0.08,0.91,Matches
29,Ameen Al-Dakhil,be BEL,DF,Burnley,21-225,2002,8,8,675,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,5,27,2,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
30,Timothy Castagne,be BEL,DF,Fulham,27-316,1995,5,4,378,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,16,22,28,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,Matches
31,Leandro Trossard,be BEL,FW,Arsenal,28-317,1994,4,2,174,1.9,1,0,1,1,0,0,0,0,0.1,0.1,0.9,0.9,3,9,12,0.52,0,0.52,0.52,0.52,0.05,0.45,0.49,0.05,0.49,Matches
32,Jeremy Doku,be BEL,FW,Manchester City,21-143,2002,5,4,327,3.6,1,0,1,1,0,0,1,0,0.3,0.3,1.1,1.3,35,8,53,0.28,0,0.28,0.28,0.28,0.07,0.29,0.36,0.07,0.36,Matches
33,Bertrand Traoré,bf BFA,DF,Aston Villa,28-041,1995,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Dango Ouattara,bf BFA,FW,Bournemouth,21-248,2002,4,2,178,2,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,4,2,15,0,0,0,0,0,0.19,0.05,0.24,0.19,0.24,Matches
35,Issa Kaboré,bf BFA,"DF,MF",Luton Town,22-158,2001,7,6,477,5.3,0,0,0,0,0,0,2,0,0.1,0.1,1,1.1,18,15,19,0,0,0,0,0,0.02,0.19,0.21,0.02,0.21,Matches
36,Vitinho,br BRA,DF,Burnley,24-086,1999,3,2,153,1.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,6,3,3,0,0,0,0,0,0.01,0.05,0.05,0.01,0.05,Matches
