Player,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
106,Jacob Bruun Larsen,dk DEN,"FW,MF",Burnley,25-028,1998,7,0,142,1.6,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,10,3,17,0.63,0,0.63,0.63,0.63,0.28,0.07,0.35,0.28,0.35,Matches
107,Joachim Andersen,dk DEN,DF,Crystal Palace,27-139,1996,8,8,720,8,2,0,2,2,0,0,0,0,0.6,0.6,1.2,1.8,8,55,4,0.25,0,0.25,0.25,0.25,0.08,0.15,0.23,0.08,0.23,Matches
108,Mathias Jensen,dk DEN,MF,Brentford,27-289,1996,8,8,618,6.9,3,1,4,3,0,0,1,0,0.3,0.3,1.2,1.5,4,32,24,0.44,0.15,0.58,0.44,0.58,0.05,0.18,0.22,0.05,0.22,Matches
109,Yasser Larouci,dz ALG,DF,Sheffield Utd,22-289,2001,5,1,222,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,8,5,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
110,Saïd Benrahma,dz ALG,"FW,MF",West Ham,28-068,1995,7,3,339,3.8,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.3,19,17,43,0,0.27,0.27,0,0.27,0.13,0.23,0.35,0.13,0.35,Matches
111,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,22-133,2001,8,7,514,5.7,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,9,26,19,0,0,0,0,0,0.09,0.02,0.1,0.09,0.1,Matches
112,Moisés Caicedo,ec ECU,MF,Chelsea,21-349,2001,6,5,453,5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,27,4,0,0,0,0,0,0.03,0.04,0.06,0.03,0.06,Matches
113,Pervis Estupiñán,ec ECU,DF,Brighton,25-269,1998,6,6,495,5.5,1,3,4,1,0,0,2,0,0.9,0.9,2.8,3.6,22,41,36,0.18,0.55,0.73,0.18,0.73,0.16,0.5,0.66,0.16,0.66,Matches
114,Mohamed Salah,eg EGY,FW,Liverpool,31-124,1992,8,8,683,7.6,5,4,9,3,2,3,1,0,5.2,2.7,4.2,6.9,25,30,64,0.66,0.53,1.19,0.4,0.92,0.69,0.56,1.24,0.35,0.91,Matches
115,Ashley Young,eng ENG,DF,Everton,38-100,1985,8,8,703,7.8,0,0,0,0,0,0,3,0,0.1,0.1,0.5,0.6,15,31,10,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Matches
116,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-330,1997,6,3,327,3.6,0,0,0,0,0,0,2,0,0,0,0,0,4,8,4,0,0,0,0,0,0,0,0,0,0,Matches
117,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-280,1997,5,5,425,4.7,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.3,0,8,1,0,0,0,0,0,0.02,0.04,0.07,0.02,0.07,Matches
118,Cauley Woodrow,eng ENG,"FW,MF",Luton Town,28-319,1994,6,0,71,0.8,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.9,2,1,6,0,0,0,0,0,0.7,0.44,1.14,0.7,1.14,Matches
119,Adam Webster,eng ENG,DF,Brighton,28-286,1995,4,4,360,4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,5,24,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
120,Joel Ward,eng ENG,DF,Crystal Palace,33-353,1989,7,7,622,6.9,0,0,0,0,0,0,3,0,0.5,0.5,0,0.5,7,22,6,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
121,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-325,1997,5,4,341,3.8,0,1,1,0,0,0,2,0,0,0,1.1,1.1,11,16,10,0,0.26,0.26,0,0.26,0,0.3,0.3,0,0.3,Matches
122,Kyle Walker,eng ENG,DF,Manchester City,33-142,1990,8,8,719,8,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1,21,43,63,0,0.13,0.13,0,0.13,0.01,0.12,0.12,0.01,0.12,Matches
123,Kieran Trippier,eng ENG,DF,Newcastle Utd,33-028,1990,8,8,699,7.8,0,5,5,0,0,0,1,0,0.1,0.1,3.4,3.4,13,57,36,0,0.64,0.64,0,0.64,0.01,0.44,0.44,0.01,0.44,Matches
124,James Trafford,eng ENG,GK,Burnley,21-007,2002,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
125,James Tomkins,eng ENG,DF,Crystal Palace,34-202,1989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
126,Harry Toffolo,eng ENG,DF,Nott'ham Forest,28-059,1995,2,1,121,1.3,0,1,1,0,0,0,0,0,0,0,0.1,0.1,1,6,6,0,0.74,0.74,0,0.74,0.01,0.05,0.06,0.01,0.06,Matches
127,Luke Thomas,eng ENG,DF,Sheffield Utd,22-129,2001,5,4,358,4,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,2,16,13,0,0,0,0,0,0.12,0,0.13,0.12,0.13,Matches
128,Charlie Taylor,eng ENG,DF,Burnley,30-029,1993,5,5,450,5,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,14,9,0,0,0,0,0,0.01,0,0.02,0.01,0.02,Matches
129,Marcus Tavernier,eng ENG,FW,Bournemouth,24-209,1999,5,4,302,3.4,0,1,1,0,0,0,0,0,0.1,0.1,1.2,1.3,12,7,14,0,0.3,0.3,0,0.3,0.04,0.34,0.38,0.04,0.38,Matches
130,Matt Targett,eng ENG,DF,Newcastle Utd,28-029,1995,3,1,78,0.9,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
131,John Stones,eng ENG,MF,Manchester City,29-142,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
132,Jason Steele,eng ENG,GK,Brighton,33-060,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,23-081,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,3.75,0,3.75,3.75,3.75,Matches
134,Adam Smith,eng ENG,DF,Bournemouth,32-171,1991,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
135,Oliver Skipp,eng ENG,MF,Tottenham,23-031,2000,5,1,120,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,Matches
136,Luke Shaw,eng ENG,DF,Manchester Utd,28-097,1995,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0.7,0.7,1,11,8,0,0,0,0,0,0,0.36,0.36,0,0.36,Matches
137,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,23-206,2000,3,0,79,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,10,4,5,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
138,Joe Rothwell,eng ENG,MF,Bournemouth,28-279,1995,5,3,271,3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,12,3,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
139,Jay Rodriguez,eng ENG,FW,Burnley,34-080,1989,4,0,72,0.8,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,0,0,5,0,0,0,0,0,0.71,0,0.71,0.71,0.71,Matches
140,Jack Robinson,eng ENG,DF,Sheffield Utd,30-046,1993,8,7,675,7.5,0,1,1,0,0,0,2,0,0.5,0.5,0.2,0.7,1,14,3,0,0.13,0.13,0,0.13,0.07,0.03,0.09,0.07,0.09,Matches
141,Harrison Reed,eng ENG,MF,Fulham,28-263,1995,8,6,494,5.5,0,1,1,0,0,0,1,0,0,0,0.7,0.7,2,17,23,0,0.18,0.18,0,0.18,0,0.12,0.12,0,0.12,Matches
142,Nathan Redmond,eng ENG,"MF,DF",Burnley,29-225,1994,3,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,0,7,0,0,0,0,0,0,0.38,0.38,0,0.38,Matches
143,Aaron Ramsey,eng ENG,"FW,MF",Burnley,20-269,2003,5,2,207,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,6,4,5,0,0,0,0,0,0.02,0.17,0.2,0.02,0.2,Matches
144,Aaron Ramsdale,eng ENG,GK,Arsenal,25-156,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Jesuran Rak Sakyi,eng ENG,"MF,DF",Crystal Palace,21-012,2002,4,0,75,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,1,12,0,0,0,0,0,0.21,0.12,0.33,0.21,0.33,Matches
146,Jarrell Quansah,eng ENG,DF,Liverpool,20-261,2003,3,1,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Nick Pope,eng ENG,GK,Newcastle Utd,31-181,1992,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Jordan Pickford,eng ENG,GK,Everton,29-224,1994,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
149,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,21-251,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,Matches
150,Kalvin Phillips,eng ENG,MF,Manchester City,27-319,1995,3,0,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,6,7,3,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
151,Cole Palmer,eng ENG,MF,Manchester City,21-164,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Ben Osborn,eng ENG,"DF,FW",Sheffield Utd,29-073,1994,3,3,192,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,6,8,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
153,Tyler Onyango,eng ENG,MF,Everton,20-227,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
154,Michael Olakigbe,eng ENG,"MF,DF",Brentford,19-175,2004,3,0,13,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,6,3,9,0,0,0,0,0,0.7,0,0.7,0.7,0.7,Matches
155,Reiss Nelson,eng ENG,FW,Arsenal,23-311,1999,3,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2,0,5,0,0,0,0,0,0.06,1.14,1.19,0.06,1.19,Matches
156,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-235,1995,3,0,15,0.2,0,1,1,0,0,0,0,0,0,0,0.6,0.6,1,3,0,0,6,6,0,6,0,3.39,3.39,0,3.39,Matches
157,Mason Mount,eng ENG,MF,Manchester Utd,24-280,1999,4,4,289,3.2,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,5,11,19,0,0,0,0,0,0.06,0.06,0.12,0.06,0.12,Matches
158,Tyrick Mitchell,eng ENG,DF,Crystal Palace,24-046,1999,8,8,720,8,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.7,7,20,42,0,0.12,0.12,0,0.12,0.01,0.07,0.08,0.01,0.08,Matches
159,Tyrone Mings,eng ENG,DF,Aston Villa,30-218,1993,1,1,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,Matches
160,James Milner,eng ENG,DF,Brighton,37-286,1986,5,3,229,2.5,0,0,0,0,0,0,2,0,0,0,0.1,0.1,2,17,15,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
161,Teden Mengi,eng ENG,DF,Luton Town,21-170,2002,3,1,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
162,Ben Mee,eng ENG,DF,Brentford,34-026,1989,2,2,151,1.7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,6,1,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches
163,Dwight McNeil,eng ENG,"MF,FW",Everton,23-329,1999,5,4,366,4.1,0,1,1,0,0,0,0,0,0.6,0.6,1.7,2.3,16,9,20,0,0.25,0.25,0,0.25,0.14,0.42,0.56,0.14,0.56,Matches
164,James Mcatee,eng ENG,MF,Manchester City,20-364,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
165,James Mcatee,eng ENG,MF,Sheffield Utd,20-364,2002,4,3,237,2.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,8,8,13,0,0,0,0,0,0.13,0.08,0.21,0.13,0.21,Matches
166,Alex Matos,eng ENG,MF,Chelsea,19-014,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Harry Maguire,eng ENG,DF,Manchester Utd,30-226,1993,3,1,118,1.3,0,1,1,0,0,0,0,0,0,0,0.3,0.3,2,6,0,0,0.76,0.76,0,0.76,0,0.21,0.21,0,0.21,Matches
168,Noni Madueke,eng ENG,"MF,FW",Chelsea,21-221,2002,3,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,6,2,17,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
169,Max Lowe,eng ENG,"MF,DF",Sheffield Utd,26-159,1997,2,2,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
170,Valentino Livramento,eng ENG,"DF,FW",Newcastle Utd,20-339,2002,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,Matches
171,Keane Lewis-Potter,eng ENG,FW,Brentford,22-237,2001,6,2,222,2.5,0,0,0,0,0,0,0,0,1,1,0.1,1.1,12,6,31,0,0,0,0,0,0.39,0.05,0.43,0.39,0.43,Matches
172,Rico Lewis,eng ENG,"DF,MF",Manchester City,18-330,2004,4,2,147,1.6,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,Matches
173,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-340,1993,3,2,197,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,3,1,0,0,0,0,0,0.04,0.01,0.04,0.04,0.04,Matches
174,Adam Lallana,eng ENG,"MF,FW",Brighton,35-160,1988,4,1,114,1.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,6,10,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
175,Ezri Konsa,eng ENG,DF,Aston Villa,25-359,1997,8,8,720,8,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,4,18,5,0,0,0,0,0,0.05,0,0.06,0.05,0.06,Matches
176,Max Kilman,eng ENG,DF,Wolves,26-147,1997,8,8,720,8,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,8,23,0,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1,Matches
177,Lloyd Kelly,eng ENG,DF,Bournemouth,25-011,1998,4,3,277,3.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,5,12,2,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
178,Michael Keane,eng ENG,DF,Everton,30-279,1993,3,2,181,2,0,0,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
179,Curtis Jones,eng ENG,MF,Liverpool,22-260,2001,5,4,280,3.1,0,0,0,0,0,0,1,1,0.1,0.1,0,0.1,2,19,24,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
180,Sam Johnstone,eng ENG,GK,Crystal Palace,30-206,1993,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Ryan John Giles,eng ENG,"DF,MF",Luton Town,23-264,2000,4,3,269,3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,9,21,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,Matches
182,Reece James,eng ENG,DF,Chelsea,23-313,1999,1,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0.3,0.3,5,7,13,0,0,0,0,0,0.04,0.31,0.35,0.04,0.35,Matches
183,Danny Ings,eng ENG,"FW,MF",West Ham,31-086,1992,5,0,38,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,6,0,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches
184,Will Hughes,eng ENG,MF,Crystal Palace,28-183,1995,5,4,361,4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,16,3,0,0,0,0,0,0.04,0.03,0.06,0.04,0.06,Matches
185,Jack Hinshelwood,eng ENG,MF,Brighton,18-189,2005,1,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,3,1,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches
186,James Hill,eng ENG,DF,Bournemouth,21-280,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,Matches
187,Rico Henry,eng ENG,DF,Brentford,26-101,1997,5,5,401,4.5,0,1,1,0,0,0,1,0,0.1,0.1,1,1.1,13,20,12,0,0.22,0.22,0,0.22,0.02,0.22,0.24,0.02,0.24,Matches
188,Lewis Hall,eng ENG,DF,Newcastle Utd,19-039,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
189,Antwoine Hackford,eng ENG,FW,Sheffield Utd,19-211,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
190,Marc Guéhi,eng ENG,DF,Crystal Palace,23-096,2000,7,7,629,7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,19,1,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05,Matches
191,Jack Grealish,eng ENG,FW,Manchester City,28-037,1995,4,2,195,2.2,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,18,4,34,0,0.46,0.46,0,0.46,0.17,0.23,0.4,0.17,0.4,Matches
192,Joe Gomez,eng ENG,DF,Liverpool,26-147,1997,7,4,427,4.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,22,20,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
193,Ben Godfrey,eng ENG,DF,Everton,25-275,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
194,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,23-263,2000,8,7,661,7.3,0,1,1,0,0,0,2,0,1.1,1.1,1.7,2.8,19,32,36,0,0.14,0.14,0,0.14,0.15,0.23,0.38,0.15,0.38,Matches
195,Conor Gallagher,eng ENG,MF,Chelsea,23-253,2000,8,8,675,7.5,0,1,1,0,0,0,1,0,0.5,0.5,0.9,1.4,14,45,27,0,0.13,0.13,0,0.13,0.07,0.12,0.19,0.07,0.19,Matches
196,Wes Foderingham,eng ENG,GK,Sheffield Utd,32-276,1991,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Harvey Elliott,eng ENG,MF,Liverpool,20-196,2003,6,1,168,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,14,13,0,0,0,0,0,0.06,0.05,0.11,0.06,0.11,Matches
198,Tommy Doyle,eng ENG,MF,Wolves,22-000,2001,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
199,Alfie Doughty,eng ENG,"DF,MF",Luton Town,23-300,1999,8,5,475,5.3,0,1,1,0,0,0,0,0,0.2,0.2,1.6,1.8,10,22,30,0,0.19,0.19,0,0.19,0.04,0.3,0.34,0.04,0.34,Matches
200,Lewis Dobbin,eng ENG,MF,Everton,20-287,2003,3,1,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,0,6,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches
201,Craig Dawson,eng ENG,DF,Wolves,33-164,1990,8,8,700,7.8,0,0,0,0,0,0,3,0,0.4,0.4,0.6,1,0,18,2,0,0,0,0,0,0.05,0.08,0.12,0.05,0.12,Matches
202,Tom Davies,eng ENG,MF,Sheffield Utd,25-109,1998,3,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,4,1,0,0,0,0,0,0.14,0.11,0.25,0.14,0.25,Matches
203,Josh Dasilva,eng ENG,MF,Brentford,24-359,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
204,Jack Cork,eng ENG,MF,Burnley,34-114,1989,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,Matches
205,Lewis Cook,eng ENG,MF,Bournemouth,26-256,1997,6,5,470,5.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,17,2,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
206,Levi Colwill,eng ENG,DF,Chelsea,20-233,2003,8,8,709,7.9,0,1,1,0,0,0,0,0,0.8,0.8,0.9,1.7,10,24,16,0,0.13,0.13,0,0.13,0.11,0.11,0.21,0.11,0.21,Matches
207,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-195,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
208,Ben Chilwell,eng ENG,"DF,MF",Chelsea,26-300,1996,6,4,336,3.7,0,1,1,0,0,0,3,0,1,1,1.8,2.8,12,10,23,0,0.27,0.27,0,0.27,0.26,0.49,0.74,0.26,0.74,Matches
209,Mason Burstow,eng ENG,FW,Chelsea,20-074,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
210,Reece Burke,eng ENG,DF,Luton Town,27-045,1996,7,6,541,6,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.8,0,22,9,0,0.17,0.17,0,0.17,0.06,0.06,0.12,0.06,0.12,Matches
211,Andre Brooks,eng ENG,"MF,FW",Sheffield Utd,20-058,2003,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
212,Rhian Brewster,eng ENG,FW,Sheffield Utd,23-199,2000,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,3,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches
213,Jarrad Branthwaite,eng ENG,DF,Everton,21-112,2002,6,6,540,6,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,0,16,1,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
214,Luke Berry,eng ENG,MF,Luton Town,31-097,1992,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
215,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,35-089,1988,8,3,321,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,7,6,0,0,0,0,0,0.04,0.07,0.1,0.04,0.1,Matches
216,Ross Barkley,eng ENG,MF,Luton Town,29-316,1993,3,2,156,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.6,1,8,1,0,0,0,0,0,0.14,0.2,0.33,0.14,0.33,Matches
217,Cameron Archer,eng ENG,MF,Aston Villa,22-088,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
218,Jaidon Anthony,eng ENG,FW,Bournemouth,23-320,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,8,9,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
219,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-010,1998,6,5,420,4.7,0,1,1,0,0,0,2,0,0.2,0.2,0.9,1.1,15,21,10,0,0.21,0.21,0,0.21,0.04,0.19,0.23,0.04,0.23,Matches
220,Tosin Adarabioyo,eng ENG,DF,Fulham,26-023,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
221,Max Aarons,eng ENG,DF,Bournemouth,23-286,2000,8,7,619,6.9,0,0,0,0,0,0,1,0,0,0,0.2,0.3,11,20,12,0,0,0,0,0,0,0.03,0.04,0,0.04,Matches
222,Ben White,eng ENG,DF,Arsenal,26-009,1997,8,8,720,8,1,0,1,1,0,0,1,0,0.4,0.4,0.7,1.1,15,42,34,0.12,0,0.12,0.12,0.12,0.05,0.09,0.14,0.05,0.14,Matches
223,Danny Welbeck,eng ENG,"FW,MF",Brighton,32-325,1990,7,6,393,4.4,1,0,1,1,0,0,1,0,1.1,1.1,0.3,1.4,8,10,21,0.23,0,0.23,0.23,0.23,0.25,0.06,0.31,0.25,0.31,Matches
224,James Tarkowski,eng ENG,DF,Everton,30-332,1992,8,8,719,8,1,1,2,1,0,0,0,0,0.7,0.7,0.4,1.2,1,31,4,0.13,0.13,0.25,0.13,0.25,0.09,0.05,0.14,0.09,0.14,Matches
225,Declan Rice,eng ENG,MF,Arsenal,24-276,1999,8,8,664,7.4,1,0,1,1,0,0,0,0,0.7,0.7,0.8,1.5,11,45,11,0.14,0,0.14,0.14,0.14,0.09,0.11,0.2,0.09,0.2,Matches
226,Marcus Rashford,eng ENG,FW,Manchester Utd,25-351,1997,8,8,669,7.4,1,1,2,1,0,0,1,0,2.8,2.8,1.1,3.8,36,21,71,0.13,0.13,0.27,0.13,0.27,0.37,0.14,0.52,0.37,0.52,Matches
227,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,22-142,2001,2,0,50,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0,0.2,4,2,0,1.8,0,1.8,1.8,1.8,0.34,0,0.34,0.34,0.34,Matches
228,Cole Palmer,eng ENG,"FW,MF",Chelsea,21-164,2002,5,2,242,2.7,1,1,2,0,1,1,1,0,1.4,0.6,0.9,1.5,14,22,22,0.37,0.37,0.74,0,0.37,0.51,0.34,0.85,0.21,0.56,Matches
229,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-352,1997,8,4,452,5,1,1,2,1,0,0,1,0,0.6,0.6,0.9,1.5,4,32,17,0.2,0.2,0.4,0.2,0.4,0.11,0.18,0.29,0.11,0.29,Matches
